PDB_ID,H_chain_ID,L_chain_ID,Ag_chain_ID(s),Ab_type,Ag_species,Ag_mol_name(s),Resolution,KD_nM,neg_log10_KD,Affinity_method,antigen_group
6yye,C,N.A.,A,scFv,homo sapiens,triggering receptor expressed on myeloid cells 2,3.36,1.6,-0.2041199826559248,SPR,homo-sapiens/triggering-receptor-expressed-on-myeloid-cells-2
6zrv,B,N.A.,A,VHH,homo sapiens,plasminogen activator inhibitor 1,1.88,3.2,-0.505149978319906,SPR,homo-sapiens/plasminogen-activator-inhibitor-1
7a3n,H,L,A,FabH:FabL,zika virus,core protein,2.1,16.2,-1.209515014542631,BLI,zika-virus/core-protein
7a6o,B,N.A.,A,VHH,homo sapiens,von willebrand factor,2.12,91.6,-1.9618954736678504,BLI,homo-sapiens/von-willebrand-factor
7amp,H,L,B,FabH:FabL,homo sapiens,beta chain 1 of a6 t-cell receptor trbc1,2.64,2.57,-0.4099331233312945,SPR,homo-sapiens/beta-chain-1-of-a6-t-cell-receptor-trbc1
7ams,H,L,B,FabH:FabL,homo sapiens,human a6 t-cell receptor beta chain trbc2,2.42,479.0,-2.680335513414563,SPR,homo-sapiens/human-a6-t-cell-receptor-beta-chain-trbc2
7anq,B,N.A.,A,VHH,homo sapiens,proprotein convertase subtilisin/kexin type 9,2.2,5.56,-0.7450747915820575,BLI,homo-sapiens/proprotein-convertase-subtilisin-kexin-type-9
7b27,C,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,surface glycoprotein,2.9,8.23,-0.9153998352122699,BLI,sars-cov-2_spike
7bc6,B,N.A.,A,VHH,gallus gallus,proton-coupled folate transporter,3.2,7.7,-0.8864907251724818,BLI,gallus-gallus/proton-coupled-folate-transporter
7bel,A,B,R,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.53,5.9,-0.7708520116421442,BLI,sars-cov-2_spike
7bnv,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,surface glycoprotein,2.35,3.4,-0.5314789170422551,SPR,sars-cov-2_spike
7bsc,H,L,A,FabH:FabL,dengue virus 2,non-structural protein 1,2.31,0.1,1.0,SPR,dengue-virus-2/non-structural-protein-1
7bxa,B,C,A,FabH:FabL,homo sapiens,programmed cell death protein 1,3.32,0.13,0.8860566476931633,SPR,homo-sapiens/programmed-cell-death-protein-1
7c2l,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.1,0.996,0.0017406615763012698,BLI,sars-cov-2_spike
7can,A,N.A.,B,VH,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.94,33.0,-1.5185139398778875,BLI,sars-cov-2_spike
7ce2,Z,B,A,FabH:FabL,clostridium tetani,tetanus toxin,2.01,0.32,0.494850021680094,SPR,clostridium-tetani/tetanus-toxin
7cgw,A,B,C,FabH:FabL,homo sapiens,programmed cell death protein 1,3.2,0.114,0.9430951486635274,SPR,homo-sapiens/programmed-cell-death-protein-1
7chy,H,L,I,FabH:FabL,homo sapiens,interleukin-1 beta,2.65,28.9,-1.4608978427565478,SPR,homo-sapiens/interleukin-1-beta
7chz,H,L,I,FabH:FabL,homo sapiens,interleukin-1 beta,2.5,0.645,0.19044028536473223,SPR,homo-sapiens/interleukin-1-beta
7cr5,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,nucleoprotein,2.08,1.02,-0.00860017176191757,SPR,sars-cov-2_spike
7cu5,A,B,E;Q,VHVL:VHVL,homo sapiens;homo sapiens,programmed cell death protein 1;programmed cell death protein 1,2.81,5.92,-0.7723217067229198,SPR,homo-sapiens/programmed-cell-death-protein-1
7cyv,H,N.A.,B,scFv,severe acute respiratory syndrome coronavirus 2,spike protein s1,3.13,5.6,-0.7481880270062004,BLI,sars-cov-2_spike
7d2z,A,N.A.,B,VH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.97,5.6,-0.7481880270062004,BLI,sars-cov-2_spike
7d4b,B,N.A.,A,VHH,homo sapiens,tumor necrosis factor receptor superfamily member 9,3.14,4.9,-0.6901960800285137,BLI,homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-9
7d6y,B,N.A.,A,VH,homo sapiens,eukaryotic translation initiation factor 4e,1.67,154.3,-2.1883659260631485,SPR,homo-sapiens/eukaryotic-translation-initiation-factor-4e
7d8b,B,N.A.,A,VH,homo sapiens,eukaryotic translation initiation factor 4e,2.46,0.057,1.2441251443275085,SPR,homo-sapiens/eukaryotic-translation-initiation-factor-4e
7dc8,B,A,C,FabH:FabL,homo sapiens,interleukin-6 receptor subunit alpha,2.76,48.0,-1.6812412373755872,SPR,homo-sapiens/interleukin-6-receptor-subunit-alpha
7deo,A,N.A.,B,scFv,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.5,2.33,-0.367355921026019,BLI,sars-cov-2_spike
7det,B,N.A.,A,scFv,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.2,0.0507,1.294992040666664,BLI,sars-cov-2_spike
7df1,F,J,C,VH:VL,homo sapiens,4f2 cell-surface antigen heavy chain,2.81,58.2,-1.7649229846498886,SPR,homo-sapiens/4f2-cell-surface-antigen-heavy-chain
7dha,C,B,A,FabH:FabL,homo sapiens,adp-ribosyl cyclase/cyclic adp-ribose hydrolase 1,2.55,4.36,-0.6394864892685861,SPR,homo-sapiens/adp-ribosyl-cyclase-cyclic-adp-ribose-hydrolase-1
7dm1,D,C,A,FabH:FabL,mycobacterium tuberculosis h37rv,phosphate-binding protein psts 1,2.1,1.44,-0.15836249209524964,SPR,mycobacterium-tuberculosis-h37rv/phosphate-binding-protein-psts-1
7dm2,H,L,A,FabH:FabL,mycobacterium tuberculosis h37rv,phosphate-binding protein psts 1,2.4,1.34,-0.12710479836480765,SPR,mycobacterium-tuberculosis-h37rv/phosphate-binding-protein-psts-1
7dst,E,N.A.,C,VHH,foot-and-mouth disease virus,vp3 of o type fmdv capsid,3.1,1.0,-0.0,SPR,foot-and-mouth-disease-virus/vp3-of-o-type-fmdv-capsid
7dv4,B,N.A.,A,VH,homo sapiens,cytotoxic t-lymphocyte protein 4,2.38,0.0428,1.368556230986828,BLI,homo-sapiens/cytotoxic-t-lymphocyte-protein-4
7e9b,H,L,C,FabH:FabL,homo sapiens,programmed cell death protein 1,1.78,2.42,-0.38381536598043126,BLI,homo-sapiens/programmed-cell-death-protein-1
7eam,C,D,B,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.4,0.003,2.5228787452803374,SPR,sars-cov-2_spike
7ean,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.91,0.01,2.0,SPR,sars-cov-2_spike
7f5g,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,1.75,0.25,0.6020599913279624,BLI,sars-cov-2_spike
7f9w,B,C,A,FabH:FabL,homo sapiens,interleukin-2 receptor subunit alpha,3.2,8.84,-0.9464522650130731,SPR,homo-sapiens/interleukin-2-receptor-subunit-alpha
7fcq,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.89,0.55,0.2596373105057561,SPR,sars-cov-2_spike
7jmp,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.71,20.9,-1.320146286111054,BLI,sars-cov-2_spike
7joo,H,L,C,FabH:FabL,homo sapiens,inducible t-cell costimulator,2.4,2.0,-0.3010299956639812,BLI,homo-sapiens/inducible-t-cell-costimulator
7k7i,H,L,A,VH:VL,salmonella typhi,putative pertussis-like toxin subunit,3.13,0.0067,2.1739251972991736,SPR,salmonella-typhi/putative-pertussis-like-toxin-subunit
7k93,E,N.A.,A,scFv,dengue virus 2,non-structural protein 1,2.89,5.8,-0.7634279935629373,BLI,dengue-virus-2/non-structural-protein-1
7ket,A,B,C,FabH:FabL,neisseria meningitidis,factor h binding protein,2.0,7.26,-0.8609366207000937,SPR,neisseria-meningitidis/factor-h-binding-protein
7ki6,D,C,B,VH:VL,hendra henipavirus,fusion glycoprotein f0,2.8,1.0,-0.0,BLI,hendra-henipavirus/fusion-glycoprotein-f0
7kjh,A,N.A.,C,VHH,plasmodium falciparum,surface protein p12p,2.0,6.7,-0.8260748027008264,BLI,plasmodium-falciparum/surface-protein-p12p
7kji,A,N.A.,B,VHH,plasmodium falciparum,surface protein p12p,3.25,5.0,-0.6989700043360189,BLI,plasmodium-falciparum/surface-protein-p12p
7kn5,E,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.87,21.4,-1.3304137733491908,SPR,sars-cov-2_spike
7kqg,B,C,A,FabH:FabL,influenza b virus,hemagglutinin,2.6,160.0,-2.204119982655925,BLI,influenza-b-virus/hemagglutinin
7kqh,C,D,A,FabH:FabL,influenza b virus,hemagglutinin,3.5,50.0,-1.6989700043360187,BLI,influenza-b-virus/hemagglutinin
7kyl,H,L,E,FabH:FabL,powassan virus,envelope protein domain iii,2.0,68.4,-1.8350561017201164,BLI,powassan-virus/envelope-protein-domain-iii
7l2e,G,J,B,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.97,0.0043,2.3665315444204134,SPR,sars-cov-2_spike
7lab,H,L,C,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.97,294.0,-2.4683473304121573,SPR,sars-cov-2_spike
7lcn,B,D,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.35,16.4,-1.214843848047698,SPR,sars-cov-2_spike
7lcv,A,B,C,FabH:FabL,neisseria meningitidis,factor h binding protein,1.7,66.0,-1.8195439355418688,SPR,neisseria-meningitidis/factor-h-binding-protein
7lf7,H,L,K,FabH:FabL,homo sapiens,apolipoprotein l1,2.03,0.86,0.06550154875643228,SPR,homo-sapiens/apolipoprotein-l1
7lfa,B,D,A,FabH:FabL,homo sapiens,apolipoprotein l1,1.86,1.56,-0.1931245983544616,SPR,homo-sapiens/apolipoprotein-l1
7lfb,H,L,X,FabH:FabL,homo sapiens,apolipoprotein l1,1.91,1.63,-0.21218760440395779,SPR,homo-sapiens/apolipoprotein-l1
7lm8,M,N,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.94,29.2,-1.4653828514484184,BLI,sars-cov-2_spike
7lm9,H,L,A,FabH:FabL,sars coronavirus ma15,spike glycoprotein,1.53,53.6,-1.72916478969277,BLI,sars-coronavirus-ma15/spike-glycoprotein
7lqv,H,L,A,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.25,4.4802,-0.6512974017118993,SPR,sars-cov-2_spike
