PDB_ID,H_chain_ID,L_chain_ID,Ag_chain_ID(s),Ab_type,Ag_species,Ag_mol_name(s),Resolution,KD_nM,neg_log10_KD,Affinity_method,antigen_group
7r6w,H,L,R,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.83,0.2,0.6989700043360187,SPR,sars-cov-2_spike
7r98,D,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,nucleoprotein,2.51,1.6,-0.2041199826559248,SPR,sars-cov-2_spike
7rah,B,A,E,FabH:FabL,bordetella pertussis,"bifunctional adenylate cyclase toxin/hemolysin cyaa,bifunctional adenylate cyclase toxin/hemolysin cyaa",2.6,0.87,0.060480747381381476,SPR,bordetella-pertussis/bifunctional-adenylate-cyclase-toxin-hemolysin-cyaa-bifunctional-adenylate-cyclase-toxin-hemolysin-cyaa
7rah,D,C,E,FabH:FabL,bordetella pertussis,"bifunctional adenylate cyclase toxin/hemolysin cyaa,bifunctional adenylate cyclase toxin/hemolysin cyaa",2.6,0.75,0.12493873660829995,SPR,bordetella-pertussis/bifunctional-adenylate-cyclase-toxin-hemolysin-cyaa-bifunctional-adenylate-cyclase-toxin-hemolysin-cyaa
7rk1,C,N.A.,A,scFv,human astrovirus-8,capsid polyprotein vp70,2.05,40.03,-1.6023855901051052,BLI,human-astrovirus-8/capsid-polyprotein-vp70
7rk2,C,N.A.,B,scFv,human astrovirus-8,capsid protein vp25,2.65,2.45,-0.3891660843645325,BLI,human-astrovirus-8/capsid-protein-vp25
7rw2,G,J,B,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.5,6.94,-0.8413594704548549,SPR,sars-cov-2_spike
7rxi,H,L,A,FabH:FabL,plasmodium falciparum (isolate 3d7),circumsporozoite protein,2.15,0.00377,2.423658649794207,SPR,plasmodium-falciparum/circumsporozoite-protein
7rxj,A,B,G,FabH:FabL,plasmodium falciparum (isolate 3d7),circumsporozoite protein,2.35,0.00278,2.555955204081924,SPR,plasmodium-falciparum/circumsporozoite-protein
7rxl,C,D,F,FabH:FabL,plasmodium falciparum (isolate 3d7),circumsporozoite protein,1.82,0.36,0.44369749923271273,SPR,plasmodium-falciparum/circumsporozoite-protein
7rxp,H,L,A,FabH:FabL,plasmodium falciparum (isolate 3d7),circumsporozoite protein,1.76,0.0291,1.5361070110140926,SPR,plasmodium-falciparum/circumsporozoite-protein
7s07,H,L,A,FabH:FabL,human gammaherpesvirus 4,envelope glycoprotein h,3.29,0.46,0.3372421683184259,BLI,human-gammaherpesvirus-4/envelope-glycoprotein-h
7s0d,H,L,C,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.5,0.00328,2.484126156288321,BLI,sars-cov-2_spike
7s0x,C,D,F,FabH:FabL,plasmodium falciparum (isolate 3d7),circumsporozoite protein,2.8,0.0116,1.9355420107730816,SPR,plasmodium-falciparum/circumsporozoite-protein
7s11,H,L,C,FabH:FabL,mus musculus,t-cell surface protein tactile,2.58,47.2,-1.6739419986340878,SPR,mus-musculus/t-cell-surface-protein-tactile
7s1b,H,L,A,FabH:FabL,human gammaherpesvirus 4,envelope glycoprotein h,3.03,0.21,0.6777807052660807,BLI,human-gammaherpesvirus-4/envelope-glycoprotein-h
7s1b,X,Y,A;B,FabH:FabL,human gammaherpesvirus 4;human gammaherpesvirus 4,envelope glycoprotein h;envelope glycoprotein l,3.03,2.05,-0.31175386105575426,BLI,human-gammaherpesvirus-4/envelope-glycoprotein-h;envelope-glycoprotein-l
7s2r,B,N.A.,A,VHH,homo sapiens,cytokine receptor common subunit gamma,2.49,69.0,-1.8388490907372552,SPR,homo-sapiens/cytokine-receptor-common-subunit-gamma
7s2s,A,N.A.,D,VHH,homo sapiens,interleukin-2 receptor subunit beta,1.93,25.0,-1.3979400086720377,SPR,homo-sapiens/interleukin-2-receptor-subunit-beta
7s7r,B,N.A.,A,VHH,plasmodium falciparum 3d7,merozoite surface protein p12,1.77,26.25,-1.4191293077419758,BLI,plasmodium-falciparum-3d7/merozoite-surface-protein-p12
7sbd,H,L,C,FabH:FabL,hevea brasiliensis,profilin-2,3.04,370.0,-2.568201724066995,BLI,hevea-brasiliensis/profilin-2
7sd5,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.53,0.00452,2.344861565188618,SPR,sars-cov-2_spike
7seg,A,B,D,FabH:FabL,homo sapiens,low affinity immunoglobulin gamma fc region receptor iii-a,2.16,24.5,-1.3891660843645326,SPR,homo-sapiens/low-affinity-immunoglobulin-gamma-fc-region-receptor-iii-a
7shu,C,D,A,VH:VL,homo sapiens,immunoglobulin heavy constant epsilon,2.75,0.95,0.022276394711152257,BLI,homo-sapiens/immunoglobulin-heavy-constant-epsilon
7shy,C,D,A,VH:VL,homo sapiens,ige fc,3.0,2.02,-0.3053513694466238,BLI,homo-sapiens/ige-fc
7shz,C,D,A,VH:VL,homo sapiens,ige fc,3.0,0.166,0.7798919119599449,BLI,homo-sapiens/ige-fc
7si0,C,D,A,VH:VL,homo sapiens,ige fc,3.0,1.86,-0.26951294421791633,BLI,homo-sapiens/ige-fc
7si2,E,D,B,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,3.2,0.000782,3.106793246940152,SPR,sars-cov-2_spike
7su0,H,L,C,FabH:FabL,homo sapiens,cytotoxic t-lymphocyte protein 4,2.41,3.5,-0.5440680443502757,SPR,homo-sapiens/cytotoxic-t-lymphocyte-protein-4
7su1,H,L,C,FabH:FabL,homo sapiens,cytotoxic t-lymphocyte protein 4,2.53,25.0,-1.3979400086720377,SPR,homo-sapiens/cytotoxic-t-lymphocyte-protein-4
7t3m,D,N.A.,A,scFv,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.0,0.107,0.9706162223147904,BLI,sars-cov-2_spike
7tjq,A,B,C,VH:VL,human metapneumovirus,fusion glycoprotein f0,3.13,0.368,0.43415218132648237,SPR,human-metapneumovirus/fusion-glycoprotein-f0
7tl0,D,E,A,VH:VL,human metapneumovirus,fusion glycoprotein f0,3.06,0.223,0.6516951369518393,SPR,human-metapneumovirus/fusion-glycoprotein-f0
7tn9,M,N,W;X,VH:VL,"ebola virus - mayinga, zaire, 1976;ebola virus - mayinga, zaire, 1976",gp2;gp2,3.1,1.64,-0.21484384804769785,SPR,ebola-virus-mayinga-zaire-1976/gp2
7tuf,A,B,C,FabH:FabL,homo sapiens,tapasin,2.8,1.1,-0.04139268515822508,SPR,homo-sapiens/tapasin
7txz,E,F,A,VH:VL,nipah henipavirus,glycoprotein g,3.2,2.65,-0.42324587393680785,BLI,nipah-henipavirus/glycoprotein-g
7u9p,H,L,A,FabH:VL+,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.5,0.56,0.25181197299379954,SPR,sars-cov-2_spike
7uds,D,E,B;b,FabH:FabL,lassa mammarenavirus;lassa mammarenavirus,glycoprotein g1;glycoprotein g2,3.1,3.52,-0.5465426634781311,BLI,lassa-mammarenavirus/glycoprotein-g1;glycoprotein-g2
7ue9,H,L,C,FabH:FabL,homo sapiens,complement c3dg fragment,1.75,12.9,-1.110589710299249,SPR,homo-sapiens/complement-c3dg-fragment
7ukl,H,L,A;C,VH:VL,severe acute respiratory syndrome coronavirus 2;severe acute respiratory syndrome coronavirus 2,spike glycoprotein;spike glycoprotein,3.09,16.0,-1.2041199826559248,SPR,sars-cov-2_spike
7ul1,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus,spike protein s1,2.65,0.83,0.08092190762392612,SPR,severe-acute-respiratory-syndrome-coronavirus/spike-protein-s1
7unz,A,N.A.,D,VHH,plasmodium falciparum,"cysteine-rich small secreted protein css, putative",2.03,0.88,0.05551732784983137,BLI,plasmodium-falciparum/cysteine-rich-small-secreted-protein-css-putative
7urv,D,N.A.,C,scFv,homo sapiens,b-lymphocyte antigen cd19,3.05,4.5,-0.6532125137753437,SPR,homo-sapiens/b-lymphocyte-antigen-cd19
7urx,H,L,C,FabH:FabL,homo sapiens,b-lymphocyte antigen cd19,3.4,26.9,-1.429752280002408,SPR,homo-sapiens/b-lymphocyte-antigen-cd19
7uvf,H,L,A,FabH:FabL,homo sapiens,t-cell surface glycoprotein cd8 alpha chain,2.6,5.0,-0.6989700043360189,SPR,homo-sapiens/t-cell-surface-glycoprotein-cd8-alpha-chain
7v61,H,K,B,FabH:FabL,homo sapiens,angiotensin-converting enzyme 2,3.2,30.5,-1.4842998393467859,BLI,homo-sapiens/angiotensin-converting-enzyme-2
7vfa,D,N.A.,E,VHH,severe acute respiratory syndrome coronavirus 2,3c-like proteinase,1.75,2.43,-0.38560627359831223,BLI,sars-cov-2_spike
7vfb,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,3c-like proteinase,2.0,0.46,0.3372421683184259,BLI,sars-cov-2_spike
7vyt,B,C,A;T,VH:VL,homo sapiens;homo sapiens,t-cell immunoreceptor with ig and itim domains;t-cell immunoreceptor with ig and itim domains,1.53,2.2,-0.3424226808222063,BLI,homo-sapiens/t-cell-immunoreceptor-with-ig-and-itim-domains
7w1s,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.0,0.0674,1.1713401034646802,SPR,sars-cov-2_spike
7wg3,E,A,I,FabH:FabL,bos taurus,il17rb protein,2.19,11.0,-1.0413926851582251,BLI,bos-taurus/il17rb-protein
7whi,D,N.A.,B,VH,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.93,0.4,0.3979400086720376,BLI,sars-cov-2_spike
7whi,G,N.A.,A;B,VH,severe acute respiratory syndrome coronavirus 2;severe acute respiratory syndrome coronavirus 2,spike glycoprotein;spike glycoprotein,2.93,0.4,0.3979400086720376,BLI,sars-cov-2_spike
7wn8,H,L,A,FabH:FabL,homo sapiens,leukocyte surface antigen cd47,2.8,6.9,-0.8388490907372553,SPR,homo-sapiens/leukocyte-surface-antigen-cd47
7wrv,U,V,C,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.47,3.2,-0.505149978319906,BLI,sars-cov-2_spike
7wrz,H,L,R,VH:VL,sars coronavirus b012,spike protein s1,3.26,0.29,0.5376020021010439,BLI,sars-coronavirus-b012/spike-protein-s1
7wsl,H,L,D,FabH:FabL,homo sapiens,programmed cell death protein 1,1.53,0.3,0.5228787452803376,SPR,homo-sapiens/programmed-cell-death-protein-1
7wvm,A,B,E,VH:VL,homo sapiens,programmed cell death protein 1,3.4,1.68,-0.22530928172586284,SPR,homo-sapiens/programmed-cell-death-protein-1
7x08,H,L,A;B,FabH:FabL,severe acute respiratory syndrome coronavirus;severe acute respiratory syndrome coronavirus,spike glycoprotein;spike glycoprotein,2.7,1.02,-0.00860017176191757,SPR,severe-acute-respiratory-syndrome-coronavirus/spike-glycoprotein
7x1m,H,L,M,VH:VL,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.74,2.6,-0.414973347970818,SPR,sars-cov-2_spike
7x2a,H,K,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,mers-cov spike glycoprotein,2.49,4.6,-0.6627578316815741,SPR,sars-cov-2_spike
7x2h,A,B,E,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.1,4.21,-0.6242820958356683,BLI,sars-cov-2_spike
7x3c,H,L,A;B;C,VH:VL,coxsackievirus b1;coxsackievirus b1;coxsackievirus b1,virion protein 1;vp2;vp3,3.03,2.1,-0.3222192947339193,SPR,coxsackievirus-b1/virion-protein-1;vp2;vp3
7x4i,E,N.A.,A;D,VHH,severe acute respiratory syndrome coronavirus;severe acute respiratory syndrome coronavirus,spike glycoprotein;spike glycoprotein,3.38,0.361,0.4424927980943421,SPR,severe-acute-respiratory-syndrome-coronavirus/spike-glycoprotein
7xcz,D,E,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.2,0.186,0.7304870557820837,SPR,sars-cov-2_spike
7xda,D,E,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.98,0.901,0.04527520902093702,SPR,sars-cov-2_spike
7xdk,D,E,A,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.2,0.186,0.7304870557820837,SPR,sars-cov-2_spike
7xdl,K,J,C,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.08,0.901,0.04527520902093702,SPR,sars-cov-2_spike
7xjf,A,B,C,FabH:FabL,homo sapiens,leukocyte surface antigen cd47,2.6,4160.0,-3.6190933306267428,SPR,homo-sapiens/leukocyte-surface-antigen-cd47
7xli,B,N.A.,A,VHH,staphylococcus aureus subsp. aureus mu50,iron-regulated surface determinant protein b,1.7,0.25,0.6020599913279624,SPR,staphylococcus-aureus-subsp-aureus-mu50/iron-regulated-surface-determinant-protein-b
7xqv,B,N.A.,A,VHH,rattus norvegicus,rhoa,2.76,60.5,-1.7817553746524688,SPR,rattus-norvegicus/rhoa
7xy8,H,L,A,FabH:FabL,homo sapiens,isoform 2 of basigin,2.3,8.6,-0.9344984512435677,SPR,homo-sapiens/isoform-2-of-basigin
7yk4,H,L,A,FabH:FabL,homo sapiens,tumor necrosis factor receptor superfamily member 4,2.7,4.39,-0.6424645202421213,BLI,homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-4
7yms,F,E,A,FabH:FabL,coxsackievirus a16,capsid protein vp1,2.9,0.35,0.45593195564972444,BLI,coxsackievirus-a16/capsid-protein-vp1
7yrf,F,E,C,FabH:FabL,coxsackievirus a16,capsid protein vp3,2.91,7.34,-0.8656960599160706,BLI,coxsackievirus-a16/capsid-protein-vp3
7yru,H,L,A,FabH:FabL,homo sapiens,activin receptor type-1,2.6,5.6,-0.7481880270062004,SPR,homo-sapiens/activin-receptor-type-1
7yvk,H,I,B,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.2,0.000976,3.0105501823333083,SPR,sars-cov-2_spike
7yvo,I,H,A,VH:VL,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.3,0.00171,2.7670038896078464,SPR,sars-cov-2_spike
7z1x,B,N.A.,A,VHH,homo sapiens,gasdermin-d,1.86,0.64,0.1938200260161128,SPR,homo-sapiens/gasdermin-d
7z1x,C,N.A.,A,VHH,homo sapiens,gasdermin-d,1.86,143.0,-2.155336037465062,SPR,homo-sapiens/gasdermin-d
7zk1,C,N.A.,A,VHH,arabidopsis thaliana,cystinosin homolog,2.65,760.0,-2.8808135922807914,BLI,arabidopsis-thaliana/cystinosin-homolog
7zkz,B,N.A.,A,VHH,arabidopsis thaliana,cystinosin homolog,2.33,90.0,-1.954242509439325,BLI,arabidopsis-thaliana/cystinosin-homolog
7zkz,C,N.A.,A,VHH,arabidopsis thaliana,cystinosin homolog,2.33,189.0,-2.2764618041732443,BLI,arabidopsis-thaliana/cystinosin-homolog
7zoz,H,L,A,FabH:FabL,homo sapiens,sialic acid-binding ig-like lectin 15,2.1,4.68,-0.670245853074124,BLI,homo-sapiens/sialic-acid-binding-ig-like-lectin-15
8ag1,H,L,A,FabH:FabL,homo sapiens,tumor necrosis factor receptor superfamily member 4,3.3,4.39,-0.6424645202421213,BLI,homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-4
8as0,B,C,A;R,FabH:FabL,homo sapiens;homo sapiens,programmed cell death protein 1;programmed cell death protein 1,3.5,54.0,-1.7323937598229686,SPR,homo-sapiens/programmed-cell-death-protein-1
8b7h,H,L,A,FabH:FabL,homo sapiens,gremlin-1,1.95,0.0528,1.2773660774661877,SPR,homo-sapiens/gremlin-1
8bf4,A,N.A.,C,VHH,mus musculus,plexin-b1,2.15,0.237,0.6252516539898961,BLI,mus-musculus/plexin-b1
8bf4,B,N.A.,C,VHH,mus musculus,plexin-b1,2.15,37.5,-1.5740312677277188,BLI,mus-musculus/plexin-b1
8bsf,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.2,0.789,0.10292299679057967,SPR,sars-cov-2_spike
8byu,H,L,A,FabH:FabL,homo sapiens,adp-ribosyl cyclase/cyclic adp-ribose hydrolase 1,1.85,1.1,-0.04139268515822508,BLI,homo-sapiens/adp-ribosyl-cyclase-cyclic-adp-ribose-hydrolase-1
8bzy,B,N.A.,A,VH,homo sapiens,solute carrier family 40 member 1,3.24,500.0,-2.6989700043360187,SPR,homo-sapiens/solute-carrier-family-40-member-1
8c9x,F,N.A.,A;B,VHH,homo sapiens;homo sapiens,neuronal acetylcholine receptor subunit alpha-7;neuronal acetylcholine receptor subunit alpha-7,2.3,0.2,0.6989700043360187,SPR,homo-sapiens/neuronal-acetylcholine-receptor-subunit-alpha-7
8ce4,F,N.A.,A;B,VHH,homo sapiens;homo sapiens,neuronal acetylcholine receptor subunit alpha-7;neuronal acetylcholine receptor subunit alpha-7,2.7,1.0,-0.0,SPR,homo-sapiens/neuronal-acetylcholine-receptor-subunit-alpha-7
8cw9,G,M,A;F,VH:VL,human metapneumovirus;human metapneumovirus,fusion glycoprotein f0;fusion glycoprotein f0,3.46,54.0,-1.7323937598229686,BLI,human-metapneumovirus/fusion-glycoprotein-f0
8cyd,D,N.A.,B,VHH,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,2.6,0.387,0.4122890349810886,SPR,sars-cov-2_spike
8df1,H,L,A,FabH:FabL,homo sapiens,chitinase-3-like protein 1,3.3,3.21,-0.5065050324048721,BLI,homo-sapiens/chitinase-3-like-protein-1
8dfg,H,L,A,FabH:FabL,plasmodium falciparum 3d7,merozoite surface protein 1,2.0,4.24,-0.6273658565927327,BLI,plasmodium-falciparum-3d7/merozoite-surface-protein-1
8dfh,H,L,A,FabH:FabL,plasmodium falciparum 3d7,merozoite surface protein 1,2.3,0.66,0.1804560644581313,BLI,plasmodium-falciparum-3d7/merozoite-surface-protein-1
8dfi,H,L,A,FabH:FabL,plasmodium falciparum 3d7,merozoite surface protein 1,1.9,1.84,-0.2648178230095365,BLI,plasmodium-falciparum-3d7/merozoite-surface-protein-1
8dl7,D,C,A,FabH:FabL,homo sapiens,solute carrier family 40 member 1,2.7,10.6,-1.0253058652647702,BLI,homo-sapiens/solute-carrier-family-40-member-1
8dp0,B,N.A.,A,VHH,homo sapiens,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",2.96,2.1,-0.3222192947339193,BLI,homo-sapiens/phosphatidylinositol-4-5-bisphosphate-3-kinase-catalytic-subunit-gamma-isoform
8dpl,A,B,D,VH:VL,"ebola virus - mayinga, zaire, 1976",glycoprotein gp1,2.53,0.00375,2.425968732272281,BLI,ebola-virus-mayinga-zaire-1976/glycoprotein-gp1
8dpm,D,E,A,VH:VL,"ebola virus - mayinga, zaire, 1976",glycoprotein gp1,3.0,0.00113,2.9469215565165805,BLI,ebola-virus-mayinga-zaire-1976/glycoprotein-gp1
8ds5,C,B,A,FabH:FabL,homo sapiens,cd27 antigen,1.93,5.1,-0.7075701760979364,SPR,homo-sapiens/cd27-antigen
8dt8,D,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.34,382.0,-2.582063362911709,SPR,sars-cov-2_spike
8dt8,H,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.34,391.0,-2.5921767573958667,SPR,sars-cov-2_spike
8dzw,H,L,C,FabH:FabL,human respiratory syncytial virus a2,rsv fusion protein,2.46,1.23,-0.08990511143939793,BLI,human-respiratory-syncytial-virus-a2/rsv-fusion-protein
8e7m,H,L,A,FabH:FabL,homo sapiens,angiotensin-converting enzyme 2,3.3,0.276,0.5590909179347823,SPR,homo-sapiens/angiotensin-converting-enzyme-2
8edf,H,L,A,VH+:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,3.4,0.412,0.3851027839668654,SPR,sars-cov-2_spike
8ejj,H,L,a;c,VH:VL,lassa mammarenavirus;lassa mammarenavirus,glycoprotein gp2;glycoprotein gp2,3.22,0.5,0.3010299956639812,BLI,lassa-mammarenavirus/glycoprotein-gp2
8eqf,H,L,A,VH:VL,severe acute respiratory syndrome coronavirus 2,spike protein s1,3.16,0.125,0.9030899869919435,BLI,sars-cov-2_spike
8ew6,V,N.A.,W,VHH,homo sapiens,t-cell surface glycoprotein cd8 alpha chain,1.9,2.4,-0.38021124171160603,SPR,homo-sapiens/t-cell-surface-glycoprotein-cd8-alpha-chain
8ezk,H,N.A.,A,scFv,plasmodium falciparum (isolate nf54),25 kda ookinete surface antigen,2.3,0.37,0.431798275933005,BLI,plasmodium-falciparum/25-kda-ookinete-surface-antigen
8ezm,H,N.A.,A,scFv,plasmodium falciparum,25 kda ookinete surface antigen,2.1,8.71,-0.9400181550076633,BLI,plasmodium-falciparum/25-kda-ookinete-surface-antigen
8f8x,C,N.A.,A;B,VHH,homo sapiens;homo sapiens,uncharacterized protein dkfzp686c11235;uncharacterized protein dkfzp686c11235,2.6,142.0,-2.1522883443830567,SPR,homo-sapiens/uncharacterized-protein-dkfzp686c11235
8fdo,A,B,C,FabH:FabL,escherichia coli,fp15,2.2,0.6,0.22184874961635637,SPR,escherichia-coli/fp15
8fgx,B,A,C,FabH:FabL,homo sapiens,plasma kallikrein light chain,2.62,1.07,-0.029383777685209663,SPR,homo-sapiens/plasma-kallikrein-light-chain
8fxb,H,L,E,VH:VL,severe acute respiratory syndrome coronavirus,spike protein s1,3.1,2.0,-0.3010299956639812,SPR,severe-acute-respiratory-syndrome-coronavirus/spike-protein-s1
8ghr,C,N.A.,A,VH,homo sapiens,"ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form, immunoglobulin gamma-1 heavy chain fusion",3.2,0.56,0.25181197299379954,BLI,homo-sapiens/ectonucleotide-pyrophosphatase-phosphodiesterase-family-member-1-secreted-form-immunoglobulin-gamma-1-heavy-chain-fusion
8gje,G,J,C,VH:VL,human immunodeficiency virus 1,cza97.12 sosip.664 envelope glycoprotein gp120,3.4,5.4,-0.7323937598229685,SPR,human-immunodeficiency-virus-1/cza97-12-sosip-664-envelope-glycoprotein-gp120
8gpi,A,C,T;Z,VH:VL,human immunodeficiency virus 1;human immunodeficiency virus 1,x18 ufo gp41;x18 ufo gp41,3.0,530.0,-2.724275869600789,SPR,human-immunodeficiency-virus-1/x18-ufo-gp41
8gpt,D,E,A,VH:VL,yellow fever virus,envelope protein,3.07,0.00149,2.826813731587726,SPR,yellow-fever-virus/envelope-protein
8gpu,C,D,B,FabH:FabL,yellow fever virus,envelope protein,2.79,0.00149,2.826813731587726,SPR,yellow-fever-virus/envelope-protein
8gq1,H,L,C,FabH:FabL,gallus gallus,lysozyme c,3.13,0.23,0.6382721639824072,SPR,gallus-gallus/lysozyme-c
8gz5,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.7,0.37,0.431798275933005,BLI,sars-cov-2_spike
8h63,B,N.A.,A,VHH,listeria monocytogenes serovar 1/2a,internalin a,1.53,0.696,0.15739076038943792,SPR,listeria-monocytogenes-serovar-1-2a/internalin-a
8h64,B,N.A.,A,VHH,listeria monocytogenes serovar 1/2a,internalin a,2.35,0.194,0.712198270069774,SPR,listeria-monocytogenes-serovar-1-2a/internalin-a
8hit,A,B,C,VH:VL,homo sapiens,cytotoxic t-lymphocyte protein 4,3.2,0.206,0.6861327796308466,SPR,homo-sapiens/cytotoxic-t-lymphocyte-protein-4
8hn6,A,B,E;F,VH:VL,severe acute respiratory syndrome coronavirus 2;severe acute respiratory syndrome coronavirus 2,spike protein s1;spike protein s1,2.07,1.37,-0.1367205671564068,BLI,sars-cov-2_spike
8hpu,H,L,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s2',2.56,0.00547,2.262012673666569,BLI,sars-cov-2_spike
8hr2,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.94,5.07,-0.705007959333336,BLI,sars-cov-2_spike
8hr2,C,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.94,1.76,-0.24551266781414982,BLI,sars-cov-2_spike
8i4f,C,N.A.,A,VH,severe acute respiratory syndrome coronavirus 2,spike glycoprotein,3.44,4.09,-0.6117233080073418,BLI,sars-cov-2_spike
8j5j,E,N.A.,A,VHH,betacoronavirus sp.,spike protein s1,3.0,0.2,0.6989700043360187,SPR,betacoronavirus-sp/spike-protein-s1
8jel,A,B,E,FabH:FabL,homo sapiens,t-cell immunoreceptor with ig and itim domains,2.45,0.21,0.6777807052660807,SPR,homo-sapiens/t-cell-immunoreceptor-with-ig-and-itim-domains
8jeo,B,C,A,FabH:FabL,homo sapiens,t-cell immunoreceptor with ig and itim domains,2.06,0.193,0.7144426909922262,SPR,homo-sapiens/t-cell-immunoreceptor-with-ig-and-itim-domains
8jlw,H,L,A,VH:VL,crimean-congo hemorrhagic fever orthonairovirus,"glycoprotein c,cchfv envelope protein gc fusion loops",3.0,0.0834,1.0788339493622612,BLI,crimean-congo-hemorrhagic-fever-orthonairovirus/glycoprotein-c-cchfv-envelope-protein-gc-fusion-loops
8jlx,H,L,A,VH:VL,crimean-congo hemorrhagic fever orthonairovirus,"glycoprotein c,cchfv gc fusion loops",3.0,0.0324,1.489454989793388,BLI,crimean-congo-hemorrhagic-fever-orthonairovirus/glycoprotein-c-cchfv-gc-fusion-loops
8opr,B,N.A.,A,VHH,bacillus anthracis,s-layer protein ea1,1.81,1.9,-0.2787536009528289,BLI,bacillus-anthracis/s-layer-protein-ea1
8opr,C,N.A.,A,VHH,bacillus anthracis,s-layer protein ea1,1.81,2.2,-0.3424226808222063,BLI,bacillus-anthracis/s-layer-protein-ea1
8oz3,A,B,C,VH:VL,homo sapiens,tumor necrosis factor receptor superfamily member 9,3.1,0.1,1.0,BLI,homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-9
8pe9,H,L,A,FabH:FabL,homo sapiens,epithelial discoidin domain-containing receptor 1,3.15,0.39,0.4089353929735008,BLI,homo-sapiens/epithelial-discoidin-domain-containing-receptor-1
8q95,C,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.6,0.04,1.3979400086720375,SPR,sars-cov-2_spike
8r4o,B,N.A.,A,scFv,homo sapiens,serine/threonine-protein kinase sik3,2.73,280.0,-2.4471580313422194,SPR,homo-sapiens/serine-threonine-protein-kinase-sik3
8r4u,B,N.A.,A;E,scFv,homo sapiens;homo sapiens,serine/threonine-protein kinase sik3;serine/threonine-protein kinase sik3,2.42,280.0,-2.4471580313422194,SPR,homo-sapiens/serine-threonine-protein-kinase-sik3
8sdf,B,C,A,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,1.79,0.48,0.31875876262441283,BLI,sars-cov-2_spike
8sdg,A,B,D,FabH:FabL,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.71,0.42,0.37675070960209955,BLI,sars-cov-2_spike
8sk5,B,N.A.,A,VHH,severe acute respiratory syndrome coronavirus 2,spike protein s1,2.01,0.22,0.6575773191777937,SPR,sars-cov-2_spike
8slb,H,L,A,FabH:FabL,thermotoga maritima msb8,cobalt/magnesium transport protein cora,2.04,1.5,-0.17609125905568124,SPR,thermotoga-maritima-msb8/cobalt-magnesium-transport-protein-cora
8smk,B,C,A;D,FabH:FabL,homo sapiens;homo sapiens,protein-arginine deiminase type-4;protein-arginine deiminase type-4,3.5,1.0,-0.0,BLI,homo-sapiens/protein-arginine-deiminase-type-4
8sxp,H,L,C,FabH:FabL,ophiophagus hannah,long neurotoxin 2,2.9,0.61,0.21467016498923297,SPR,ophiophagus-hannah/long-neurotoxin-2
8szy,H,L,T,FabH:FabL,homo sapiens,t-cell immunoreceptor with ig and itim domains,2.31,0.11,0.958607314841775,SPR,homo-sapiens/t-cell-immunoreceptor-with-ig-and-itim-domains
